product_link,product_name,price,category
https://www.flipkart.com/aeonik-white-high-premium-quality-running-shoes-men/p/itm211ab9e3debb0?pid=SHOH2TRHX9TRZZET&lid=LSTSHOH2TRHX9TRZZETUE3CAE&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_11&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU9YKEuiuTugatmbyNEFtqoapXRIVRY6BfVjSx1E05w9cQ%3D%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"Aeonik 
WHITE HIGH PREMIUM QUALITY Running Shoes For Men  (White , 8)",461,shoes
https://www.flipkart.com/free-kicks-fk-394-premium-running-shoes-men/p/itm6df7358e458ef?pid=SHOGDGYKDZEPNURT&lid=LSTSHOGDGYKDZEPNURTLJJDF1&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_12&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU9QU6OcAgqupxq2XQcs9HKyIThnn7vOwDvXmEOt0JpDkQ%3D%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"Free Kicks 
FK-394 Premium Running Shoes For Men  (Blue, Orange , 10)",319,shoes
https://www.flipkart.com/vechlo-formal-shoes-men-black-lace-men/p/itm018e43b35b21a?pid=SHOH4ZKMJGPWHHYW&lid=LSTSHOH4ZKMJGPWHHYWN9QUMB&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_13&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOH4ZKMJGPWHHYW.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"VECHLO 
formal shoes for men|black formal shoes with lace For Men  (Grey, Orange , 10)",354,shoes
https://www.flipkart.com/world-wear-footwear-exclusive-affordable-collection-trendy-stylish-sports-shoes-running-men/p/itmbe7e0c5139378?pid=SHOH35F7VZT8NHQG&lid=LSTSHOH35F7VZT8NHQGQR0RKF&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU_BMfXfckwV43xm1_vEx1DOJphfuxzb7vHlgPhHGPip3A%3D%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"World Wear Footwear 
Exclusive Affordable Collection of Trendy & Stylish Sports Shoes Running Shoes For Men  (Brown , 8)",491,shoes
https://www.flipkart.com/birde-new-design-lightweight-stylish-trendy-walking-shoes-men/p/itm0e5e0bd9d5e1d?pid=SHOFZEWU2ZYGGXZR&lid=LSTSHOFZEWU2ZYGGXZR3ZJYNP&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_15&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOFZEWU2ZYGGXZR.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"Birde 
New Design Lightweight Stylish and Trendy Walking Shoes For Men  (Grey , 8)",320,shoes
https://www.flipkart.com/campus-hurricane-running-shoes-men/p/itm4d0125d9c2c65?pid=SHOG6BNGRZRZP3G6&lid=LSTSHOG6BNGRZRZP3G6H7BCD9&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&spotlightTagId=default_BestsellerId_osp%2Fcil%2F1cu&srno=s_1_16&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOG6BNGRZRZP3G6.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"CAMPUS 
HURRICANE Running Shoes For Men  (Blue , 7)",948,shoes
https://www.flipkart.com/hotstyle-smoke-grey-7-sneakers-men/p/itmdc25aa4057765?pid=SHOHFY7UJH32F3ZK&lid=LSTSHOHFY7UJH32F3ZKVUTYZE&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_17&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU-SqeDjEh-jLtjqALC3KFOWoEgvP9pqN0VcBF4ACHo8ow%3D%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"HOTSTYLE 
SMOKE-GREY-7 Sneakers For Men  (White, Grey , 7)",445,shoes
https://www.flipkart.com/hotstyle-running-shoes-men/p/itmccb11d3ba330c?pid=SHOHBFS4JYQUUZKR&lid=LSTSHOHBFS4JYQUUZKRWY4YTR&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_18&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU_KrYq_1zzRH97XKXapNrw1XQ9QsHDT5Z25QTCNuhn1ug%3D%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"HOTSTYLE 
Running Shoes For Men  (Multicolor , 8)",445,shoes
https://www.flipkart.com/asian-running-shoes-men/p/itmbf321943ff8e9?pid=SHOHGYVY7DHHQAET&lid=LSTSHOHGYVY7DHHQAETZMH0TP&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_19&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOHGYVY7DHHQAET.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"asian 
Running Shoes For Men  (Black , 6)",819,shoes
https://www.flipkart.com/birde-premium-lightweight-comfortable-regular-wear-walking-shoes-men/p/itme7a4b0d9138ce?pid=SHOGZH39U3PBGEFU&lid=LSTSHOGZH39U3PBGEFUKTCKCW&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_20&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOGZH39U3PBGEFU.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"Birde 
Premium Lightweight Comfortable Regular Wear Walking Shoes For Men  (Black , 8)",461,shoes
